filename,timepoint
1,0
SRP454976_D0_vs_D1_edgeR_results.tsv,1
SRP454976_D0_vs_D2_edgeR_results.tsv,2
SRP454976_D0_vs_D3_edgeR_results.tsv,3
SRP454976_D0_vs_D7_edgeR_results.tsv,7
