MitoCarta3.0_MitoPathways	Dominant_Direction	Hit_Count	Pathway_Total_Genes	P_value	FDR	Genes
Metabolism > Amino acid metabolism > Lysine metabolism	DOWN	1	16	0.246129922536449	0.297213491364769	Hadh
Metabolism > Carbohydrate metabolism > Pyruvate metabolism	DOWN	1	16	0.246129922536449	0.297213491364769	Dlat
Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay	DOWN	1	17	0.259330693683342	0.307354896217294	Fastkd1
Mitochondrial dynamics and surveillance > Autophagy	UP	1	18	0.295851736034497	0.340075251118351	Nbr1
Metabolism > Carbohydrate metabolism > TCA cycle	DOWN	1	20	0.297565844728557	0.340075251118351	Idh3a
Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications	DOWN	1	21	0.309868325324957	0.341923669324091	Trmt2b
OXPHOS > Complex I > CI assembly factors	DOWN	1	21	0.309868325324957	0.341923669324091	Dmac2
Metabolism > Lipid metabolism	DOWN	1	24	0.34550139345712	0.362493265266487	Acot7
Metabolism > Lipid metabolism > Phospholipid metabolism	DOWN	1	24	0.34550139345712	0.362493265266487	Chpt1
Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly	DOWN	1	24	0.34550139345712	0.362493265266487	Mrm2
Metabolism > Lipid metabolism	UP	1	24	0.373594397419916	0.385645829594752	Acot9
Protein import, sorting and homeostasis > Protein homeostasis > Proteases	DOWN	1	29	0.400858842453457	0.40722168122256	Afg1l
Metabolism > Detoxification > ROS and glutathione metabolism	UP	1	27	0.409192783045706	0.409192783045706	Sod1
