filename,timepoint
1,0
2wk_Con_vs_Mel_edgeR_results.tsv,14
4wk_Con_vs_Mel_edgeR_results.tsv,28
6wk_Con_vs_Mel_edgeR_results.tsv,42
8wk_Con_vs_Mel_edgeR_results.tsv,56
