filename,timepoint
1,0
SRP148786_D0_vs_D7_edgeR_results.tsv,7
SRP148786_D0_vs_D14_edgeR_results.tsv,14
SRP148786_D0_vs_D21_edgeR_results.tsv,21
SRP148786_D0_vs_D28_edgeR_results.tsv,28
